ParlaMint-IT_2013-03-15-LEG17-Sed-1.u1	La seduta è aperta (ore 11,01).
ParlaMint-IT_2013-03-15-LEG17-Sed-1.u2	[[Si leva in piedi.]] Onorevoli senatori, l'età mi chiama a presiedere l'evento che inaugura l'attività del Senato nella XVII legislatura repubblicana. Ciò mi dà l'occasione per rivolgere un augurio di buon lavoro ai nuovi eletti - siete tanti - e un saluto cordiale ai colleghi che ritrovo in quest'Aula. Mi dà anche modo di interpretare, sicuro di avere il consenso unanime, un pensiero deferente al Presidente della Repubblica, che con tanta saggezza e con tanto senso delle istituzioni e dello Stato guida il nostro Paese in uno dei momenti più difficili della nostra Repubblica. [[Generali applausi]] La consultazione elettorale ha innovato profondamente le rappresentanze parlamentari, come è evidente, e ha fatto emergere significative diversità. Spetterà al Parlamento comporle o renderle compatibili al servizio di un Paese che vive una difficile e complessa stagione. Nella ricerca di una sintesi utile all'Italia, ci sosterrà certamente il costante riferimento alla Costituzione repubblicana, insieme con la positiva declinazione dei Regolamenti parlamentari, dei poteri e dei doveri che ci assegna l'ordinamento repubblicano. È del tutto evidente che una contrapposizione statica delle differenti interpretazioni culturali, etiche e politiche dell'attuale momento porterebbe alla paralisi istituzionale, con conseguenze drammatiche sul governo dei grandi problemi sociali ed economici che attanagliano il nostro Paese. Credo perciò che un dialogo onesto e rigoroso, che è poi l'essenza della democrazia, e l'assunzione di una comune responsabilità nella soluzione dei problemi del Paese possano trasformare, in questa difficile congiuntura, le legittime contrapposizioni in energie creative e rigeneratrici della vita politica, civile e istituzionale del nostro Paese. La qualità del servizio che nella democrazia siamo chiamati a rendere al Paese, i valori della coesione sociale e della unità nazionale, così come il sentimento di solidarietà e di giustizia rappresentano le principali condizioni per vincere le grandi sfide che sono davanti a noi. Quali rappresentanti di un grande popolo, sono certo che sapremo sostenere le istanze di rinnovamento che vengono dalla società italiana. Viviamo un tempo, e così apparve a me agli esordi dell'Assemblea Costituente di cui fui membro, che si propone come una stagione di ricostruzione di grandi valori collettivi, di rilancio dello sviluppo per le nuove generazioni, di impegno per una Europa non solo forte, ma giusta. Quando dico forte e giusta intendo dire una Europa che sia aperta sì alle istanze del rigore, ma anche alle istanze e alle esigenze dello sviluppo, e soprattutto che voglia proseguire in un cammino di unità, sia sul piano politico, sia sul piano istituzionale. E poiché questa è la prima seduta del Senato della Repubblica italiana nella nuova legislatura, ed è una seduta che segue di poche ore l'elevazione al Soglio pontificio di Papa Francesco, sono certo di interpretare il pensiero di tutti voi rivolgendo a lui il nostro rispettoso e fervido augurio per un fecondo pontificato. [[L'Assemblea si leva in piedi. Vivi, prolungati applausi.]] Con questi sentimenti rinnovo a tutti voi, a tutti noi, un augurio di un buono, fervido ed intenso impegno di lavoro in questa Aula del Senato della Repubblica. [[Generali applausi.]]
ParlaMint-IT_2013-03-15-LEG17-Sed-1.u3	Comunico che, nella giornata di ieri, la senatrice Giovanna Mangili ha trasmesso alla Presidenza una comunicazione nella quale dichiara di voler rassegnare, per motivi personali, le proprie dimissioni dalla carica di parlamentare. Conformemente alla prassi, le dimissioni saranno portate all'attenzione della Conferenza dei Capigruppo ai fini della successiva calendarizzazione per il voto dell'Assemblea.
ParlaMint-IT_2013-03-15-LEG17-Sed-1.u4	L'ordine del giorno reca: «Costituzione dell'Ufficio di Presidenza provvisorio». A norma dell'articolo 2, comma 2, del Regolamento, invito i senatori Battista, Spilabotte, Puglia, Verducci, Vacciano e Crimi, che risultano essere i più giovani - beati loro - senatori presenti in Aula, a prendere posto al banco della Presidenza per esercitare le funzioni di Segretari provvisori. (I senatori Segretari provvisori prendono posto al banco della Presidenza).
ParlaMint-IT_2013-03-15-LEG17-Sed-1.u5	Invito il senatore Segretario provvisorio a dare lettura della comunicazione delle opzioni.
ParlaMint-IT_2013-03-15-LEG17-Sed-1.u6	Comunico che i senatori Barani, Berlusconi, Casini, Ichino, Marino e Tremonti, proclamati eletti per il Senato in più Regioni, hanno indicato le loro rispettive opzioni: il senatore Barani Lucio, eletto per la lista «Il Popolo della Libertà» nelle Regioni Lombardia e Campania, ha dichiarato di optare per la Regione Lombardia; il senatore Berlusconi Silvio, eletto per la lista «Il Popolo della Libertà» nelle Regioni Piemonte, Lombardia, Veneto, Friuli-Venezia Giulia, Liguria, Emilia-Romagna, Toscana, Umbria, Marche, Lazio, Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia e Sardegna, ha dichiarato di optare per la Regione Molise; il senatore Casini Pier Ferdinando, eletto per la lista «Con Monti per l'Italia» nelle Regioni Campania e Basilicata, ha dichiarato di optare per la Regione Campania; il senatore Ichino Pietro, eletto per la lista «Con Monti per l'Italia» nelle Regioni Lombardia e Toscana, ha dichiarato di optare per la Regione Lombardia; il senatore Marino Ignazio, eletto per la lista «Partito Democratico» nelle Regioni Piemonte e Lazio, ha dichiarato di optare per la Regione Piemonte; il senatore Tremonti Giulio, eletto per la lista «Lega Nord Padania» nelle Regioni Piemonte e Lombardia, ha dichiarato di optare per la Regione Lombardia.
ParlaMint-IT_2013-03-15-LEG17-Sed-1.u7	Prendiamo atto, dunque, delle opzioni che sono state comunicate.
ParlaMint-IT_2013-03-15-LEG17-Sed-1.u8	L'ordine del giorno reca: «Costituzione della Giunta provvisoria per la verifica dei poteri e proclamazione dei senatori subentranti». La Giunta ha il compito di effettuare gli accertamenti relativi alla proclamazione a senatore dei candidati che subentrano agli optanti per altre circoscrizioni. Ai sensi dell'articolo 3, comma 3, del Regolamento, la Giunta provvisoria è costituita dai senatori membri della Giunta delle elezioni del Senato della Repubblica della precedente legislatura che sono presenti alla seduta, in numero non inferiore a sette. Invito, pertanto, i senatori Augello, Bonfrisco, Casson, Divina, Fazzone e Malan a riunirsi immediatamente nell'adiacente sala Pannini per procedere agli accertamenti relativi alla proclamazione a senatore dei candidati che subentrano agli optanti per altre circoscrizioni. Poiché il numero dei senatori membri della Giunta delle elezioni della precedente legislatura presenti alla seduta è inferiore a sette, si procederà mediante sorteggio all'integrazione del collegio. (La Presidenza procede al sorteggio. È estratto a sorte il nome della senatrice Fucksia). La senatrice Fucksia è chiamata a riunirsi insieme agli altri membri della Giunta delle elezioni. Essendo dunque integrata la Giunta provvisoria, prego la Giunta stessa di adempiere ai propri compiti, e quindi sospendo la seduta, che riprenderà non appena tali lavori saranno conclusi. (La seduta, sospesa alle ore 11,17, è ripresa alle ore 11,41). La seduta è ripresa. Invito gli onorevoli senatori a riprendere posto. Comunico che la Giunta provvisoria per la verifica dei poteri ha concluso i propri lavori. Invito pertanto il senatore Segretario provvisorio a dare lettura dei candidati che risultano primi dei non eletti nei seggi resisi vacanti.
ParlaMint-IT_2013-03-15-LEG17-Sed-1.u9	Informo che la Giunta provvisoria per la verifica dei poteri ha comunicato di aver preso atto delle dichiarazioni di opzione pervenute e, per le sostituzioni cui occorre provvedere nei seggi resisi in conseguenza vacanti, ai sensi dell'articolo 19 della legge elettorale per il Senato, ha riscontrato che nelle sottoindicate Regioni risultano primi dei non eletti i seguenti candidati: nella Regione Abruzzo, per la lista «Il Popolo della Libertà», Federica Chiavaroli, in sostituzione del senatore Silvio Berlusconi; nella Regione Basilicata, per la lista «Il Popolo della Libertà», Guido Walter Cesare Viceconte, in sostituzione del senatore Silvio Berlusconi; per la lista «Con Monti per l'Italia», Salvatore Tito Di Maggio, in sostituzione del senatore Pier Ferdinando Casini; nella Regione Calabria, per la lista «Il Popolo della Libertà», Domenico Scilipoti, in sostituzione del senatore Silvio Berlusconi; nella Regione Campania, per la lista «Il Popolo della Libertà», Vincenzo Fasano, in sostituzione del senatore Silvio Berlusconi, e Franco Cardiello, in sostituzione del senatore Lucio Barani; nella Regione Emilia-Romagna, per la lista «Il Popolo della Libertà», Laura Bianconi, in sostituzione del senatore Silvio Berlusconi; nella Regione Friuli-Venezia Giulia, per la lista «Il Popolo della Libertà», Bernabò Bocca, in sostituzione del senatore Silvio Berlusconi; nella Regione Lazio, per la lista «Il Popolo della libertà», Francesco Aracri, in sostituzione del senatore Silvio Berlusconi; per la lista «Partito Democratico», Daniela Valentini, in sostituzione del senatore Ignazio Roberto Maria Marino; nella Regione Liguria, per la lista «Il Popolo della Libertà», Augusto Minzolini, in sostituzione del senatore Silvio Berlusconi; nella Regione Lombardia, per la lista «Il Popolo della Libertà», Sante Zuffada, in sostituzione del senatore Silvio Berlusconi; nella Regione Marche, per la lista «Il Popolo della libertà», Remigio Ceroni, in sostituzione del senatore Silvio Berlusconi; nella Regione Piemonte, per la lista «Il Popolo della Libertà», Maria Rizzotti, in sostituzione del senatore Silvio Berlusconi; per la lista «Lega Nord», Michelino Davico, in sostituzione del senatore Giulio Tremonti; nella Regione Puglia, per la lista «Il Popolo della Libertà», Francesco Bruni, in sostituzione del senatore Silvio Berlusconi; nella Regione Sardegna, per la lista «Il Popolo della Libertà», Emilio Floris, in sostituzione del senatore Silvio Berlusconi; nella Regione Sicilia, per la lista «Il Popolo della Libertà», Marcello Gualdani, in sostituzione del senatore Silvio Berlusconi; nella Regione Toscana, per la lista «Il Popolo della Libertà», Riccardo Giuseppe Mazzoni, in sostituzione del senatore Silvio Berlusconi; per la lista «Con Monti per l'Italia», Stefania Giannini, in sostituzione del senatore Pietro Emilio Antonio Ichino; nella Regione Umbria, per la lista «Il Popolo della Libertà», Luciano Rossi, in sostituzione del senatore Silvio Berlusconi; nella Regione Veneto, per la lista «Il Popolo della Libertà», Franco Conte, in sostituzione del senatore Silvio Berlusconi.
ParlaMint-IT_2013-03-15-LEG17-Sed-1.u10	Do atto alla Giunta di queste sue comunicazioni e proclamo quindi senatori i candidati Federica Chiavaroli, nella Regione Abruzzo; Guido Walter Cesare Viceconte e Salvatore Tito Di Maggio, nella Regione Basilicata; Domenico Scilipoti, nella Regione Calabria; Vincenzo Fasano e Franco Cardiello, nella Regione Campania; Laura Bianconi, nella Regione Emilia-Romagna; Bernabò Bocca, nella Regione Friuli-Venezia Giulia; Francesco Aracri e Daniela Valentini, nella Regione Lazio; Augusto Minzolini, nella Regione Liguria; Sante Zuffada, nella Regione Lombardia; Remigio Ceroni, nella Regione Marche; Maria Rizzotti e Michelino Davico, nella Regione Piemonte; Francesco Bruni, nella Regione Puglia; Emilio Floris, nella Regione Sardegna; Marcello Gualdani, nella Regione Sicilia; Riccardo Giuseppe Bazzoni e Stefania Giannini, nella Regione Toscana; Luciano Rossi, nella Regione Umbria; Franco Conte, nella Regione Veneto. Avverto che da oggi decorre, nei confronti dei nuovi proclamati, il termine di venti giorni per la presentazione di eventuali reclami.
ParlaMint-IT_2013-03-15-LEG17-Sed-1.u11	L'ordine del giorno reca ora: «Votazione per l'elezione del Presidente». Per l'elezione del Presidente del Senato si procederà, ai sensi dell'articolo 4 del Regolamento, con votazione a scrutinio segreto. Ricordo che in questo scrutinio per l'elezione è richiesta la maggioranza assoluta dei componenti del Senato, e cioè 160 voti. Per garantire il più ordinato svolgimento delle operazioni di voto, come è avvenuto per l'elezione del Presidente nelle ultime due legislature, davanti al banco della Presidenza è stata approntata una cabina. I colleghi senatori, immediatamente prima dell'ingresso in cabina, riceveranno dagli assistenti parlamentari una scheda che, dopo il voto, depositeranno nell'apposita urna all'uscita della cabina stessa. Prima di passare alla votazione per l'elezione del Presidente del Senato, avverto che, al fine di prevenire ogni possibile equivoco - come se ne sono già verificati a suo tempo - o indicazione erronea, sono a disposizione dei senatori in Aula gli elenchi dei colleghi che hanno lo stesso cognome, con l'indicazione dei rispettivi nomi personali. Dichiaro aperta la votazione a scrutinio segreto. Invito il senatore Segretario provvisorio a procedere all'appello dei senatori in ordine alfabetico. (La senatrice segretario Spilabotte e, successivamente, il senatore segretario Crimi fanno l'appello). Prendono parte alla votazione i senatori: Aiello, Airola, Albano, Alberti Casellati, Albertini, Alicata, Amati, Amoruso, Angioni, Anitori, Aracri, Arrigoni, Astorre, Augello, Azzollini Barani, Barozzino, Battista, Bellot, Bencini, Berger, Bernini, Bertorotta, Bertuzzi, Bianco, Bianconi, Bignami, Bilardi, Bisinella, Bitonci, Blundo, Bocca, Bocchino, Bonaiuti, Bondi, Bonfrisco, Borioli, Bottici, Broglia, Bruni, Bruno, Bubbico, Buccarella, Bulgarelli Calderoli, Caleo, Caliendo, Campanella, Candiani, Cantini, Capacchione, Cappelletti, Cardiello, Cardinali, Caridi, Carraro, Casaletto, Casini, Cassano, Casson, Castaldi, Catalfo, Centinaio, Ceroni, Cervellini, Chiavaroli, Chiti, Ciampolillo, Cioffi, Cirinnà, Cociancich, Collina, Colombo, Colucci, Comaroli, Compagna, Compagnone, Consiglio, Conte, Conti, Corsini, Cotti, Crimi, Crosio, Cucca, Cuomo D'Adda, D'Alì, Dalla Tor, Dalla Zuanna, D'Ambrosio Lettieri, D'Anna, D'Ascola, Davico, De Biasi, De Cristofaro, De Monte, De Petris, De Pietro, De Pin, De Poli, De Siano, Del Barba, Della Vedova, Di Biagio, Di Giorgi, Di Maggio, Dirindin, Divina, D'Onghia, Donno Endrizzi, Esposito Giuseppe, Esposito Stefano Fabbri, Falanga, Fasano, Fattori, Fattorini, Favero, Fazzone, Fedeli, Ferrara Elena, Ferrara Mario, Filippi, Filippin, Finocchiaro, Fissore, Floris, Formigoni, Fornaro, Fravezzi, Fucksia Gaetti, Galimberti, Gambaro, Garavaglia, Gasparri, Gatti, Gentile, Ghedini Rita, Giacobbe, Giannini, Giarrusso, Gibiino, Ginetti, Giovanardi, Giro, Girotto, Gotor Facello, Granaiola, Grasso, Gualdani, Guerra, Guerrieri Paleotti Ichino, Idem, Iurlaro Lai Bachisio, Langella, Laniece, Lanzillotta, Latorre, Lepri, Lezzi, Liuzzi, Lo Giudice, Lo Moro, Longo Eva, Longo Fausto Guilherme, Lucherini, Lucidi, Lumia Malan, Manassero, Manconi, Mancuso, Mandelli, Mantovani, Maran, Marcucci, Margiotta, Marin, Marinello, Marino Ignazio, Marino Luigi, Marino Mauro Maria, Martelli, Martini, Marton, Mastrangeli, Matteoli, Mattesini, Maturani, Mauro Giovanni, Mauro Mario Walter, Mazzoni, Merloni, Messina, Micheloni, Migliavacca, Milo, Mineo, Minniti, Minzolini, Mirabelli, Molinari, Montevecchi, Monti, Morgoni, Moronese, Morra, Moscardelli, Mucchetti, Munerato, Mussini, Mussolini Nencini, Nugnes Olivero, Orellana, Orrù Padua, Pagano, Pagliari, Paglini, Palermo, Palma, Panizza, Parente, Pegorer, Pelino, Pepe, Perrone, Petraglia, Petrocelli, Pezzopane, Piccoli, Pignedoli, Pinotti, Pizzetti, Puglia, Puglisi, Puppato Quagliariello Ranucci, Razzi, Repetti, Ricchiuti, Rizzotti, Romani Maurizio, Romani Paolo, Romano, Rossi Gianluca, Rossi Luciano, Rossi Maurizio Giuseppe, Russo, Ruta, Ruvolo Sacconi, Saggese, Sangalli, Santangelo, Santini, Scalia, Scavone, Schifani, Sciascia, Scibona, Scilipoti, Scoma, Serafini, Serra, Sibilia, Silvestro, Simeoni, Sollo, Sonego, Spilabotte, Sposetti, Stefani, Stefano, Stucchi, Susta Tarquinio, Taverna, Tocci, Tomaselli, Tonini, Torrisi, Tremonti, Tronti, Turano Uras Vaccari, Vacciano, Valentini, Vattuone, Verdini, Verducci, Verro, Vicari, Viceconte, Villari, Volpi Zanda, Zanettin, Zanoni, Zavoli, Zeller, Zin, Zizza, Zuffada. [[Nel corso della votazione il Presidente richiama l'Assemblea a ridurre il brusìo. Applausi da parte di alcuni senatori eletti nelle liste «Movimento 5 Stelle Grillo».]] PRESIDENTE. Dichiaro chiusa la votazione e dispongo che l'Ufficio di Presidenza provvisorio proceda allo spoglio delle schede in seduta pubblica. Invito due senatori Segretari a portare l'urna sul banco della Presidenza. (I senatori Segretari provvisori procedono allo spoglio delle schede. Il Presidente provvisorio procede alla lettura delle schede che gli vengono passate dal Segretario generale e le porge a sua volta ai senatori Segretari provvisori che prendono nota dei voti espressi). Invito i senatori Segretari provvisori a procedere al computo dei voti. (I senatori Segretari provvisori procedono al computo dei voti).
