ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT_2015-06-17-LEG17-Sed-467.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 467, Day (2015-06-17)	2015-06-17	2015-06-17	Upper house	17-upper			467-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2015-06-17-LEG17-Sed-467.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 467, Day (2015-06-17)	2015-06-17	2015-06-17	Upper house	17-upper			467-upper		Reference	Regular	MP	AP (NCD-UDC)	Area Popolare (NCD-UDC)	Coalition	Langella, Pietro	M	1960
ParlaMint-IT_2015-06-17-LEG17-Sed-467.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 467, Day (2015-06-17)	2015-06-17	2015-06-17	Upper house	17-upper			467-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2015-06-17-LEG17-Sed-467.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 467, Day (2015-06-17)	2015-06-17	2015-06-17	Upper house	17-upper			467-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2015-06-17-LEG17-Sed-467.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 467, Day (2015-06-17)	2015-06-17	2015-06-17	Upper house	17-upper			467-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2015-06-17-LEG17-Sed-467.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 467, Day (2015-06-17)	2015-06-17	2015-06-17	Upper house	17-upper			467-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2015-06-17-LEG17-Sed-467.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 467, Day (2015-06-17)	2015-06-17	2015-06-17	Upper house	17-upper			467-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Guerrieri Paleotti, Paolo	M	1947
ParlaMint-IT_2015-06-17-LEG17-Sed-467.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 467, Day (2015-06-17)	2015-06-17	2015-06-17	Upper house	17-upper			467-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2015-06-17-LEG17-Sed-467.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 467, Day (2015-06-17)	2015-06-17	2015-06-17	Upper house	17-upper			467-upper		Reference	Chairperson	MP	PD	Partito Democratico	Coalition	Grasso, Pietro	M	1945
ParlaMint-IT_2015-06-17-LEG17-Sed-467.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 467, Day (2015-06-17)	2015-06-17	2015-06-17	Upper house	17-upper			467-upper		Reference	Regular	MP	M5S.1	Movimento 5 Stelle	Opposition	Morra, Nicola	M	1963
ParlaMint-IT_2015-06-17-LEG17-Sed-467.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 467, Day (2015-06-17)	2015-06-17	2015-06-17	Upper house	17-upper			467-upper		Reference	Regular	MP	PD	Partito Democratico	Coalition	Lai, Bachisio Silvio	M	1966
ParlaMint-IT_2015-06-17-LEG17-Sed-467.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 467, Day (2015-06-17)	2015-06-17	2015-06-17	Upper house	17-upper			467-upper		Reference	Regular	MP	Misto	Misto		Bencini, Alessandra	F	1969
ParlaMint-IT_2015-06-17-LEG17-Sed-467.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 467, Day (2015-06-17)	2015-06-17	2015-06-17	Upper house	17-upper			467-upper		Reference	Regular	MP	LN-Aut	Lega Nord e Autonomie	Opposition	Tosato, Paolo	M	1972
ParlaMint-IT_2015-06-17-LEG17-Sed-467.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 467, Day (2015-06-17)	2015-06-17	2015-06-17	Upper house	17-upper			467-upper		Reference	Regular	MP	Misto	Misto		Campanella, Francesco	M	1964
ParlaMint-IT_2015-06-17-LEG17-Sed-467.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 467, Day (2015-06-17)	2015-06-17	2015-06-17	Upper house	17-upper			467-upper		Reference	Regular	MP	CRi	Conservatori, Riformisti italiani		Bonfrisco, Anna Cinzia	F	1962
