ParlaMint-IT_2019-07-10-LEG18-Sed-131.u1	La seduta è aperta (ore 9,31). Si dia lettura del processo verbale.
ParlaMint-IT_2019-07-10-LEG18-Sed-131.u2	, , dà lettura del processo verbale della seduta del giorno precedente. PRESIDENTE. Non essendovi osservazioni, il processo verbale è approvato.
ParlaMint-IT_2019-07-10-LEG18-Sed-131.u3	L'elenco dei senatori in congedo e assenti per incarico ricevuto dal Senato, nonché ulteriori comunicazioni all'Assemblea saranno pubblicati nell'allegato B al Resoconto della seduta odierna.
ParlaMint-IT_2019-07-10-LEG18-Sed-131.u4	L'ordine del giorno reca comunicazione del Presidente, ai sensi dell'articolo 126- bis, comma 2- bis, del Regolamento, in ordine al disegno di legge n. 1312 recante: «Deleghe al Governo per il riordino della disciplina in materia di spettacolo e per la modifica del codice dei beni culturali e del paesaggio», collegato alla manovra di finanza pubblica. Invito il senatore Segretario a dare lettura del parere reso - sentito il Governo - dalla 5ᵃ Commissione permanente, ai sensi dell'articolo 126- bis, comma 2- bis, del Regolamento, in ordine al predetto disegno di legge.
ParlaMint-IT_2019-07-10-LEG18-Sed-131.u5	«La Commissione programmazione economica, bilancio, esaminato il disegno di legge in titolo, ai sensi e per gli effetti dell'articolo 126- bis, comma 2- bis, del Regolamento, e sentito il rappresentante del Governo, osserva che il termine del 31 gennaio indicato dall'articolo 7, comma 2, lettera, f), della legge n. 196 del 2009, per la presentazione dei provvedimenti collegati alla manovra di finanza pubblica, non è stato rispettato, in quanto il disegno di legge in titolo risulta presentato alla Presidenza del Senato il 29 maggio scorso, ma che tuttavia il predetto termine, sulla scorta di numerosi precedenti, può considerarsi di carattere ordinatorio. Rileva quindi che il disegno di legge, articolato in due disposizioni recanti, rispettivamente, delega in materia di spettacolo e delega in materia di beni culturali e del paesaggio, corrisponde a quello indicato nella Nota di aggiornamento del DEF 2018. Tali disposizioni risultano coerenti con gli obiettivi programmatici indicati nella suddetta Nota di aggiornamento, che richiama, nell'ambito della strategia di riforma del Governo, l'adozione di azioni per il risanamento delle fondazioni lirico-sinfoniche e il miglioramento dei criteri di assegnazione delle risorse, in particolare per lo spettacolo dal vivo, prevedendo altresì la revisione del Codice dei beni culturali e del paesaggio, anche per migliorare la capacità di valorizzare e mobilitare le vocazioni dei territori. Le disposizioni appaiono, altresì, conformi al contenuto proprio dei collegati alla manovra di finanza pubblica, come disciplinato dall'articolo 10, comma 6, della legge di contabilità».
ParlaMint-IT_2019-07-10-LEG18-Sed-131.u6	Tenuto conto del parere espresso dalla 5ᵃ Commissione permanente, esaminato il disegno di legge collegato n. 1312, ai sensi dell'articolo 126- bis, comma 2- bis, del Regolamento, preso atto della posizione del Governo, comunico che il testo del provvedimento in questione non contiene disposizioni estranee al proprio oggetto, come definito dalla legislazione vigente.
ParlaMint-IT_2019-07-10-LEG18-Sed-131.u7	L'ordine del giorno reca comunicazione del Presidente, ai sensi dell'articolo 126- bis, comma 2- bis, del Regolamento, in ordine al disegno di legge n. 1349 recante: «Delega al Governo per la semplificazione e la codificazione in materia di istruzione, università, alta formazione artistica musicale e coreutica e di ricerca», collegato alla manovra di finanza pubblica. Invito il senatore Segretario a dare lettura del parere reso - sentito il Governo - dalla 5ᵃ Commissione permanente, ai sensi dell'articolo 126- bis, comma 2- bis, del Regolamento, in ordine al predetto disegno di legge.
ParlaMint-IT_2019-07-10-LEG18-Sed-131.u8	«La Commissione programmazione economica, bilancio, esaminato il disegno di legge in titolo, ai sensi e per gli effetti dell'articolo 126- bis, comma 2- bis, del Regolamento, e sentito il rappresentante del Governo, osserva che il termine del 31 gennaio indicato dall'articolo 7, comma 2, lettera f), della legge n. 196 del 2009, per la presentazione dei provvedimenti collegati alla manovra di finanza pubblica, non è stato rispettato, in quanto il disegno di legge in titolo risulta presentato alla Presidenza del Senato il 19 giugno scorso, ma che tuttavia il predetto termine, sulla scorta di numerosi precedenti, può considerarsi di carattere ordinatorio. Rileva quindi che il disegno di legge, articolato in due disposizioni recanti, rispettivamente, principi e criteri direttivi della delega e le disposizioni finanziarie, risulta sostanzialmente corrispondente a quello indicato nella Nota di aggiornamento del DEF 2018. Tali disposizioni risultano coerenti con gli obiettivi programmatici indicati nella suddetta Nota di aggiornamento, che evidenzia, nell'ambito della strategia di riforma del Governo, come la complessa normativa in materia di legislazione scolastica, universitaria, della ricerca e AFAM necessiti di un riordino anche attraverso un'attività di redazione dei relativi codici. Le disposizioni appaiono, altresì, conformi al contenuto proprio dei collegati alla manovra di finanza pubblica, come disciplinato dall'articolo 10, comma 6, della legge di contabilità».
ParlaMint-IT_2019-07-10-LEG18-Sed-131.u9	Tenuto conto del parere espresso dalla 5ᵃ Commissione permanente, esaminato il disegno di legge collegato n. 1349, ai sensi dell'articolo 126- bis, comma 2- bis, del Regolamento, preso atto della posizione del Governo, comunico che il testo del provvedimento in questione non contiene disposizioni estranee al proprio oggetto, come definito dalla legislazione vigente.
ParlaMint-IT_2019-07-10-LEG18-Sed-131.u10	L'ordine del giorno reca la discussione del disegno di legge costituzionale n. 214-515-805-B, già approvato, in prima deliberazione, dal Senato, in un testo risultante dall'unificazione dei disegni di legge costituzionale d'iniziativa dei senatori Quagliariello; Calderoli e Perilli; Patuanelli e Romeo; approvato, senza modificazioni, in prima deliberazione, dalla Camera dei deputati. Ricordo che, ai sensi dell'articolo 123 del Regolamento, in sede di seconda deliberazione, il disegno di legge costituzionale, dopo la discussione generale, sarà sottoposto solo alla votazione finale per l'approvazione nel suo complesso, previe dichiarazioni di voto. Avverto altresì che, ai sensi dell'articolo 138, primo comma, della Costituzione, in seconda deliberazione, il disegno di legge costituzionale sarà approvato se nella votazione finale otterrà il voto favorevole della maggioranza assoluta dei componenti del Senato. Il relatore, senatore Calderoli, ha chiesto l'autorizzazione a svolgere la relazione orale. Non facendosi osservazioni, la richiesta si intende accolta. Pertanto, ha facoltà di parlare il relatore.
ParlaMint-IT_2019-07-10-LEG18-Sed-131.u11	Signor Presidente, in fase di seconda lettura da parte del Senato non è consentita la relazione scritta, quindi dovrò svolgere la relazione orale, richiamandomi comunque a quanto ho detto in sede di replica e di dichiarazione di voto in prima lettura. Lo scorso 9 maggio la Camera dei deputati ha approvato in prima deliberazione il disegno di legge al nostro esame, che finalmente sta rendendo concreta la prospettiva di una consistente riduzione del numero dei parlamentari. Poiché non sono state apportate modifiche al lavoro, evidentemente valido, svolto in Senato, siamo ora in grado di arrivare in tempi rapidi alla seconda deliberazione, richiesta dall'articolo 138 della nostra Carta fondamentale. Si tratta di una deliberazione che, pur non lasciando spazio a qualsivoglia emendamento, richiede tuttavia una maggioranza netta per la sua validità. È un passaggio parlamentare di riflessione, prima ancora che di decisione: proprio per questo penso sia utile approfittarne, per riflettere sulle ragioni alla base di questa riforma, di cui vedremo ora i contenuti. Il disegno di legge reca modifiche agli articoli 56, 57 e 59 della Costituzione in materia di riduzione del numero dei parlamentari. La proposta prevede la riduzione del numero dei deputati da 630 a 400, dei quali otto eletti all'estero invece dei 12 previsti in passato; i senatori elettivi passeranno da 315 a 200, quattro dei quali eletti all'estero invece dei sei previsti in passato, e si fissa a cinque il numero massimo dei senatori a vita. Vorrei partire con un piccolo excursus storico. Innanzitutto dobbiamo essere consapevoli che non stiamo intervenendo su disposizioni scritte dai Padri costituenti, ma dai colleghi che ci hanno preceduto in questa e nell'altra Assemblea del Parlamento nella III legislatura. L'originaria formulazione degli articoli 56 e 57 prevedeva, infatti, un numero variabile di deputati e senatori in base alla popolazione: uno ogni 80.000 abitanti alla Camera e uno ogni 200.000 al Senato, e così è stato per i primi quindici anni. In seguito, visto che la popolazione cresceva e, con essa, il numero dei parlamentari, si decise di modificare il criterio introducendo il numero fisso di 630 deputati e 315 senatori. Nell'immediato vi fu un incremento: i deputati che votarono la riforma, nel 1963, erano 596, contro i 574 del 1948; in prospettiva, però, il risparmio è stato evidente, perché, senza questo intervento, sulla base del censimento del 2011, oggi avremmo ben 743 deputati (anche perché il calcolo va fatto sulla base della popolazione, ovvero dei residenti, quindi non solo dei cittadini italiani). In Senato, invece, le cose andrebbero un po' meglio, perché, applicando il sistema originario, oggi saremmo 297, oltre ovviamente ai senatori a vita; nel 1963, invece, erano solo 279: in qualche misura, quindi, stiamo tornando alle origini della nostra Repubblica, se non nelle norme, almeno nei numeri. Anche se volessimo ripercorrere l'esperienza statutaria, troveremmo una certa variabilità sia nella composizione della Camera elettiva - dato che lo Statuto non prevedeva il numero di deputati che, a un certo punto, si attestò intorno a 500 - sia soprattutto in quella della Camera alta, che, grazie alle «infornate» regie di senatori - i quali, come sappiamo, erano tutti a vita - passò gradualmente dai 58 membri del 1848 ai ben 520 del 1940. All'Assemblea costituente la questione fu ampiamente dibattuta e, proprio perché una cifra fissa non fu mai presa in considerazione, vi fu la seria preoccupazione che, al crescere della popolazione, il numero dei parlamentari potesse diventare eccessivo, con particolare riferimento a quello dei senatori. Si riteneva infatti che a un numero più ridotto dovesse corrispondere una maggiore qualità degli eletti: ricordo che Costantino Mortati aveva proposto un senatore ogni 250.000 abitanti, che oggi vorrebbe dire una cifra molto più vicina a 200 che a 315. La soluzione dei Costituenti ha avuto vita breve, così come la riforma del 1963, se non nella realtà giuridica, di sicuro nel dibattito politico: Commissione Bozzi, Commissione D'Alema, riforma della XVI legislatura, bozza Violante, riforma della XVII legislatura; in tutti questi testi, e non sono i soli, si prevedeva una riduzione del numero dei parlamentari. Dobbiamo ricordare infatti che, dal momento che in Italia entrambe le Camere sono elette direttamente, nessun altro grande Paese democratico ha una proporzione tra popolazione e parlamentari come la nostra. Detto in parole povere, l'Italia è il Paese con il più alto numero di parlamentari direttamente eletti dal popolo (945): seguono la Germania, con circa 700; la Gran Bretagna, con 650; e la Francia, con poco meno di 600. Pertanto, 400 deputati e 200 senatori, ovvero 600 parlamentari totali, è una soluzione ragionevole, che ci allinea alle democrazie occidentali. Anche se non raggiungeremo il rapporto degli Stati Uniti, ci porremo però al livello del Regno Unito o della Francia, che, con una popolazione simile alla nostra, hanno una sola Camera eletta a suffragio universale e diretto, rispettivamente con poco più e poco meno di 600 membri. Soprattutto, avremo istituzioni parlamentari che, senza intaccare il principio di una rappresentatività ampia, saranno ipso facto più funzionali. Perché ciò esprima tutto il suo potenziale, dovremo riformare di nuovo i Regolamenti, cosa che in Senato non sarà difficile, perché è appena stata fatta con successo. I nuovi numeri - questo sì - imporranno i necessari adattamenti tecnici, ma dovranno anche essere l'occasione per andare oltre e rendere più fluide l'organizzazione e le procedure. Solo in questo modo i risparmi di spesa diventeranno anche apprezzabili in termini decisionali e porteranno un ritorno di fiducia e credibilità. In questi mesi, poi, è stato anche brillantemente risolto il tema della compatibilità di questa riforma con la legge elettorale: è stata infatti approvata definitivamente alla Camera anche la legge 27 maggio 2019, n. 51, che ne consente l'applicabilità a prescindere dal numero degli eletti. Non ultimo, ricordo il testo novellato dell'articolo 59 della Costituzione, volto a fissare definitivamente, senza margini d'interpretazione, il numero dei senatori a vita. Come già accaduto in sede di primo esame al Senato e successivamente alla Camera, anche in questo passaggio si è molto dibattuto sull'esigenza di una revisione complessiva della Costituzione: mi spiace, ma non ci casco più, l'ho provato sulla mia pelle. Tutte le varie Commissioni a cui ho accennato prima, nonché la riforma del 2005 (quella scritta dal sottoscritto) e la successiva del 2016 (la Boschi) non sono riuscite neanche ad arrivare all'esame parlamentare oppure, quand'anche approvate dal Parlamento, sono poi state bocciate con referendum popolare. Oggi sono ancora più convinto della necessità di riproporre misure limitate e chirurgiche, come quella oggi al nostro esame, che, sommate tra loro, determineranno una riforma complessiva. Voglio ricordare, a questo proposito, che proprio la settimana scorsa è stata approvata la proposta presentata da me e dal collega Perilli, di cui sono stato relatore, che determina la cancellazione dell'articolo 99 della Costituzione e la conseguente soppressione del CNEL. Il provvedimento si è realizzato grazie ai voti dell'unanimità della Commissione. Tornando a noi, nell'esame in prima deliberazione al Senato c'è stata un'ampia maggioranza a favore di questo disegno di legge: una maggioranza assoluta che però, se andiamo a sommare tutti i Gruppi che si sono dichiarati a favore, raggiungeva virtualmente soltanto i due terzi. Non posso che auspicare che questa volta i due terzi si raggiungano realmente e mi auguro che rispetto al primo passaggio ci sia un ripensamento da parte di qualche Gruppo che si era espresso negativamente in Commissione e che qui possa esservi invece una convergenza: nessuno - credo - intenderà proporre un referendum confermativo su una riforma tanto condivisa dall'opinione pubblica e sarebbe un segnale importante se il Parlamento approvasse con carattere definitivo la revisione costituzionale più ricorrente nel nostro dibattito pubblico. L'obiettivo di questa riforma è duplice: da un lato, favorire un miglioramento delle proposte decisionali delle Camere, per renderle più capaci di rispondere alle esigenze dei cittadini, e, dall'altro, ottenere con questi risultati un contenimento della spesa pubblica, ovvero organi più snelli, che costano meno e funzionano in modo più efficiente. Signor Presidente, concludo ricordando il detto: cavallo magro corre più forte e salta più in alto. Con questa modifica il Parlamento sarà più forte e quindi lo sarà anche la nostra democrazia. [[Applausi dai Gruppi L-SP-PSd'Az e M5S.]]
