df_dist_5	df_dist_10	df_dist_20	df_dist_30
0.0335	0.0346	0.0353	0.0355
0.0152	0.0152	0.0156	0.0157
0.0315	0.0319	0.0319	0.0322
0.0149	0.015	0.015	0.0157
0.0524	0.0546	0.0548	0.0556
0.022	0.0225	0.0225	0.0229
0.0492	0.0498	0.0498	0.0502
0.0217	0.0227	0.0218	0.0228
0.0551	0.057	0.0574	0.0576
0.0235	0.0235	0.0234	0.0241
0.0521	0.0531	0.0527	0.0535
0.0237	0.0236	0.024	0.0245
0.0404	0.0419	0.0421	0.0425
0.0173	0.0174	0.0173	0.0179
0.0385	0.0392	0.0389	0.0394
0.0177	0.0176	0.0178	0.0181
0.0454	0.0471	0.0472	0.0474
0.0191	0.0194	0.0193	0.0198
0.0436	0.0439	0.0439	0.0443
0.0199	0.019	0.0195	0.0199
0.0467	0.0482	0.0483	0.0486
0.0216	0.0216	0.0221	0.022
0.0447	0.0452	0.0452	0.0455
0.0221	0.0211	0.0214	0.0219
0.0525	0.0548	0.0547	0.0546
0.0297	0.0319	0.0305	0.0303
0.0507	0.0507	0.0517	0.0518
0.0317	0.0292	0.0312	0.0301
0.0675	0.0701	0.0707	0.0705
0.0409	0.0444	0.0443	0.0434
0.0657	0.0657	0.067	0.068
0.0453	0.0416	0.0454	0.0437
0.0863	0.0883	0.0896	0.0896
0.0543	0.0583	0.059	0.0578
0.084	0.084	0.0855	0.0872
0.0607	0.0563	0.0615	0.0594
0.1265	0.1282	0.1317	0.1296
0.0901	0.0938	0.0959	0.0931
0.1228	0.1228	0.1268	0.128
0.0977	0.0918	0.1023	0.0997
0.2042	0.2085	0.2132	0.2077
0.1645	0.1679	0.1723	0.1682
0.1922	0.1968	0.2018	0.1998
0.1686	0.1669	0.1769	0.1686
0.2151	0.2219	0.2234	0.2214
0.1331	0.1386	0.1343	0.1366
0.2019	0.2092	0.2081	0.2069
0.1275	0.136	0.1333	0.1319
