Sentence_1	Sentence_2	Class	flesch_reading_ease_S_1	flesch_reading_ease_S_2	gulpease_index_S_1	gulpease_index_S_2	flesch_reading_ease_S_1_S_2	gulpease_index_S_1_S_2
Nello specifico lui dice: mi ha raccontato questa storia che poi non ha più raccontato negli ultimi 20 anni per cui la socializzo con voi, però lui non la racconta più Come funziona il cervello.	Secondo voi cos'è successo?	1	63.5	76.8	51.9	104.0	80.89	57.2
Rinforzate le parti bianche!	Certo, perché gli aerei che sono rientrati sono stati colpiti, ma probabilmente sono stati colpiti in quei punti che non sono necessari per volare.	0	76.8	63.28	101.5	49.8	74.54	57.2
Il mapathon vuol dire trovarsi tutti in un posto, ognuno con un computer, perché questa è la cosa fondamentale, per mappare tutti insieme.	Ci siamo trovati in tanti, abbiamo imparato come mappare tutti insieme e abbiamo contribuito anche noi a creare la mappa che è servita a tutti i volontari sul posto per poter intervenire.	1	69.68	47.9	51.6	49.6	57.95	50.5
Il legno, certo.	Potremmo definirlo quasi l'eroe nascosto della civilizzazione.	0	113.08	19.32	142.3	51.9	48.5	79.0
Occorre lavorarci tanto.	"È quello che io chiamo ""bisogna essere contadini della lingua""."	0	33.1	78.0	115.7	65.0	70.07	76.7
Sono le donne che possono far aumentare l'occupazione.	Sono le donne che possono aumentare la sostenibilità del welfare, e sono le donne che possono far crescere il paese, in termini di popolazione.	0	64.1	58.3	67.8	51.5	64.92	55.6
Ve le elenco molto brevemente.	El Douli è un trafficante.	1	90.5	102.5	97.0	105.0	96.5	101.0
In queste zone è sparito completamente, sono rimaste alcune raffigurazioni, ma nessun strumento.	L'unico posto dove questo strumento è sopravvissuto è la Sardegna!	0	43.2	66.0	47.5	62.0	53.37	53.8
Mi dicono che in teatro ci sono circa 800 persone, per cui siete attorno al 10 - 15%.	Perché non 50 e 50?	1	96.08	138.5	66.6	119.0	110.0	78.5
Questo è un progetto degli anni '60, l'Archigram, che ancora oggi compagnie spaziali come Bigelow Aerospace, che sta sviluppando questo modulo abitativo, il v330, che avrà la possibilità di contenere 330 metri cubi di volume abitabile.	Interamente gonfiabile.	0	38.56	-55.61	41.8	129.0	28.64	38.5
E questo lo vediamo - ci sono anche diverse ditte che lo usano anche per motivare i propri dipendenti.	E i videogiochi, già dalla fine degli anni '80, sono sempre stati considerati come un hobby violento e non adatto ai bambini.	1	76.96	71.1	59.0	55.4	74.0	57.0
L'Amiga invece era una macchina multimediale a tutto tondo.	Ma anche altri campi, come la realtà virtuale.	1	65.32	94.1	65.7	77.8	78.87	71.4
La tecnologia è neutra, quando nasce.	Siamo noi che decidiamo come applicarla al mondo reale.	0	89.2	78.64	85.7	70.1	83.23	76.3
Sapendo quello che sta succedendo in questo mondo, nel nostro settore, andiamo in ufficio pensando che possiamo veramente cambiare il mondo.	E quindi ci siamo intestarditi, abbiamo detto un miliardo e duecento milioni di persone senza elettricità non va bene, facciamo qualche cosa.	0	58.3	57.48	46.1	48.1	57.89	47.1
Ora, almeno cinque di queste possono essere tranquillamente allenate e sviluppate nel momento in cui io abito in un Paese diverso.	Mi concentro solo sul primo, Il complex problem solving.	0	61.12	98.62	50.9	69.0	75.52	56.3
