Sentence_1	Sentence_2	Class	flesch_reading_ease_S_1	flesch_reading_ease_S_2	gulpease_index_S_1	gulpease_index_S_2	flesch_reading_ease_S_1_S_2	gulpease_index_S_1_S_2
"La cosiddetta ""wisdom of crowds"", un libro del 2004 mai tradotto in italiano."	Una persona ha detto, valore più basso, che ce ne sono 70, Il dato reale è di 287: la media raggiunta da voi è 272, l'errore è più o meno pari al 5%.	1	93.96	85.0	62.1	62.6	93.2	62.5
Ma non fidandovi l'uno degli altri, avete paura che possano imbrogliare.	Ad esempio ritagliando di nascosto le fiches o passandosele sotto il tavolo.	0	71.78	71.38	59.9	59.8	71.61	59.9
Quindi interagire con l'intelligenza artificiale è qualcosa che nella vita di tutti i giorni possiamo fare, ma anche nel nostro lavoro: è vero che i robot stanno sostituendo molti lavori manuali, soprattutto i lavori più pesanti, i lavori più ripetitivi.	Questo non era un robot, era un pupazzo con 87 parti in movimento, una decina nel volto per rappresentare proprio l'empatia ai sentimenti umani nel momento in cui veniva a parlare con dei ragazzi, con gli esseri umani.	1	30.0	55.52	42.8	49.3	42.46	45.9
Oppure sono effettivamente patrimonio, cioè bene, cioè potenziale rigenerabile?	Un restauro.	1	11.98	94.4	43.4	184.0	22.7	41.7
Non c'è bisogno di una terza volta.	Ma che cosa vi aspettavate?	1	113.64	102.5	90.4	103.0	109.18	95.7
Cosa intendo?	Dovete scusarci, perché questa è la nostra prima presentazione interattiva, e quindi siamo tutti e due abbastanza tesi.	1	64.4	56.92	179.0	49.0	53.0	47.0
Si presentava ai convegni e alle conferenze importanti così.	Appena arrivato ha chiesto subito scusa ad Albert Einstein che l'ha fatto aspettare 40 minuti.	1	58.66	73.48	64.6	55.7	68.92	59.0
Ma l'innovazione di gran lunga più importante, quella che è responsabile del 50% dell'aumento di produzione che si è avuto negli anni, è il miglioramento genetico.	Ma il tempo del progresso non è lo stesso per tutti, o ovunque.	1	56.3	112.38	47.5	72.8	77.83	55.9
Però anche tre sogni, a pensarci bene, che bambini della mia età, cresciuti negli anni '80, avevano.	Mi viene da sorridere perché di solito, nel mio lavoro, sono io che metto altre persone sul palcoscenico, metto altre persone davanti alle telecamere; e oggi che ci sono qui io, effettivamente dico che non è così semplice.	1	81.98	44.42	57.2	48.2	61.25	51.0
Le nostre miniere sono sperdute in mezzo ai deserti, molte volte in profondità.	Le nostre acciaierie, che produciamo, hanno, di fatto, temperature altissime, quindi non permettono questa prossimità fisica.	0	75.48	38.7	60.5	39.0	55.41	48.7
Chiediamoci ancora una volta: ma perché questo implica che il presente è esteso, è spesso?	"Mah, insomma, potrei sempre dire: ""Va bene, io sto guardando un'immagine di quattro anni fa."	0	81.52	85.48	58.3	57.0	83.5	57.7
In che professione rientra fare ciò che comporta il vivere in montagna?	Nasce per riuscire a vivere in determinate condizioni.	1	86.38	56.6	64.0	67.8	75.0	65.5
