Id	Sentence_1	Sentence_2	Class	Cosine_distance_layer_1	Cosine_distance_layer_2	Cosine_distance_layer_3	Cosine_distance_layer_4	Cosine_distance_layer_5	Cosine_distance_layer_6	Cosine_distance_layer_7	Cosine_distance_layer_8	Cosine_distance_layer_9	Cosine_distance_layer_10	Cosine_distance_layer_11	Cosine_distance_layer_12
187101	E succedeva così anche ai buffoni di corte, che dovevano stare lì, presso il trono del re, per vedere da lì, e illuminare, in un attimo, gli intrighi della cortigianeria, gli eccessi del potere regale; e succede così anche alle donne che irridono l'orco di turno, come è nella cronaca di questi ultimi tempi.	Ma nella sua essenza, io credo che l'intento di chi fa questo, di chi fa umorismo, sia molto simile a quello del bambino nella fiaba di Andersen, cioè svelare che il re è nudo!	0	0.0139	0.0293	0.0232	0.0183	0.0164	0.0184	0.0254	0.0221	0.0201	0.0253	0.0508	0.0866
12909	Come può esserci il debito pubblico se la moneta è di proprietà dei cittadini, che è una forma di diritto sociale universale con contenuto patrimoniale?	Chiaramente vi è una grande truffa.	0	0.0341	0.0644	0.0646	0.0451	0.0638	0.0586	0.061	0.0547	0.0625	0.0974	0.1203	0.1782
8370	Si potrebbe obiettare che non sia giusto togliere a Maria il tocco umano di un parente.	Solo nel 2017 abbiamo già lavorato con oltre 1.000 studenti, in 14 università di 2 diversi paesi europei ed entro fine anno saranno almeno il triplo e saremo già presenti in diversi continenti.	1	0.0307	0.0945	0.0833	0.0702	0.0888	0.0976	0.0848	0.0828	0.0697	0.0919	0.1137	0.1825
166395	E quello di cui vi vorrei parlare oggi è appunto di libera scelta, e di come questo influenzi il modo in cui vediamo noi stessi e la nostra identità.	Sono tornato a casa per la prima volta dopo cinque anni, ma comunque oggi ne sono passati dieci e ancora va avanti.	1	0.0246	0.0512	0.031	0.0207	0.0252	0.0267	0.0244	0.0293	0.0281	0.0477	0.0534	0.0914
152516	È una matematica che vorrebbe essere, come detto prima, patient - specific.	Con la matematica siamo però già vicini a poter descrivere l'azione e la disfunzione cardiaca in termini estremamente precisi.	1	0.0291	0.0446	0.0513	0.0432	0.0421	0.0361	0.0363	0.059	0.0806	0.101	0.0915	0.0822
117668	Beh, TED, io sono nato nel 1977.	Quindi diciamo che il digitale è sempre stato nel mio DNA.	1	0.0338	0.0442	0.0446	0.0392	0.0405	0.0509	0.0521	0.0552	0.0878	0.1286	0.0854	0.082
123402	Mancanza di meraviglia significa mancanza di dubbio, e di senso critico su come operiamo su questo pianeta.	"Ma so che c'è scritto ""Made in China"", e questo fa esplodere questo oggetto in una cosa molto più complessa."	1	0.0223	0.0424	0.0544	0.04	0.0509	0.056	0.0519	0.0701	0.084	0.1034	0.2336	0.3835
149402	E questo impone una profondissima trasformazione nel modo di fare innovazione delle imprese che lavorano in questo settore.	"L'idea di fondo da qualcuno è stata nominata ""closed innovation"", l'innovazione chiusa: il concetto secondo cui per un'impresa, per innovare con continuità, e quindi per competere sul mercato, fosse necessario espandere continuamente e approfondire continuamente il proprio know how, ossia la propria base di competenze distintive."	1	0.0273	0.0516	0.0626	0.043	0.0473	0.0426	0.0531	0.0673	0.0993	0.1336	0.2582	0.2771
7317	Una più piccola l'ha messa dentro casa, per uso domestico, la seconda, un po' più grande, l'ha messa invece fuori per illuminare la strada.	E quindi?	1	0.0779	0.1368	0.1298	0.0945	0.0956	0.1194	0.1478	0.1848	0.2046	0.2685	0.2827	0.268
120997	Tornando alla nostra esperienza, noi al momento della selezione, ovviamente dopo un periodo di totale euforia, ci siamo resi conto di aver pochissimo tempo per portare quella che nel momento della selezione era un'idea geniale, ma completamente astratta, a qualcosa poi di concreto.	Come previsto dal programma, infatti, avevamo circa sette mesi, da marzo ad ottobre, per passare dalla fase idea, alla fase poi di test.	0	0.0202	0.0469	0.042	0.0318	0.0329	0.0359	0.046	0.078	0.1059	0.1429	0.3358	0.2552
